duration,src_bytes,dst_bytes,src_packets,dst_packets,wrong_fragment,urgent,protocol,label
1.6094341595088628,42,288,4,2,0,0,0,0
1.079968212480991,0,649,5,3,0,0,0,1
2.5009023916129145,396,536,4,1,1,0,0,0
2.8811294327824277,728,57,7,0,0,1,0,0
2.902070377307673,534,614,4,2,0,0,0,0
1.6043590137246362,1290,232,5,4,0,1,0,0
1.2556808063345708,1351,933,6,3,0,1,1,0
0.3675148153128356,724,587,3,3,1,0,0,0
0.9663976849914224,515,645,3,0,0,0,0,0
0.7060878551471601,602,584,4,6,0,1,2,0
2.7587959497256573,1080,632,8,5,1,0,1,0
2.5555838708578964,970,103,8,0,1,1,0,0
1.132061395122432,1111,400,6,5,0,0,0,0
3.2544824139360657,1974,572,6,5,0,0,0,0
1.935018684504091,651,206,4,2,0,0,0,0
0.7185849257664765,119,153,2,2,0,1,0,0
1.7375015681649977,633,294,5,3,0,0,0,0
0.9177652016579978,210,652,4,0,1,1,0,0
2.756900602614545,890,382,3,3,1,0,1,0
0.9001481780274943,1183,101,3,2,0,0,0,0
0.6302752729094789,476,77,5,3,0,1,0,0
0.36185908880788276,1393,408,5,3,1,0,0,0
3.4450826773480605,100,195,8,1,0,1,1,0
0.6909410358623957,743,72,4,3,0,1,0,0
0.14334435567378556,126,824,4,2,0,0,0,0
0.29573289902354083,2324,69,4,2,0,0,1,0
2.0646183711066977,179,53,8,3,0,1,0,0
1.7308881287281568,129,595,4,3,0,1,0,0
1.8254652231919768,1124,156,7,2,1,0,0,0
1.8616420060157655,1586,458,9,5,1,1,0,0
5.2832952017409225,1461,360,4,1,1,0,2,0
0.18716996723076884,1120,499,8,3,0,0,0,1
0.02448545814307468,1552,475,7,4,0,1,0,0
0.6275454564957554,247,1243,3,8,1,1,0,0
2.2319588451509915,1313,173,4,1,0,0,1,0
3.2579445854417832,1171,609,4,3,1,1,0,0
0.7721050846902499,1013,325,3,1,1,0,0,0
0.6803129539250561,471,151,3,4,1,0,1,0
0.6489624313824791,1351,287,3,2,0,1,0,0
2.301185575649402,824,246,4,0,1,0,1,0
2.486508342406885,305,826,4,3,1,1,1,1
2.0863085366103897,524,969,5,4,1,1,1,0
0.3310194145773886,676,452,4,4,1,1,0,0
1.4643226461334395,1508,1270,7,3,0,1,2,0
1.2333716182814565,1827,21,7,3,0,0,1,0
1.437377193458026,1672,616,2,4,0,1,0,0
